,Broad business,Recession alerts,Industrial Production,Manufacturing,Services,Small Business sentix,Consumption,Consumers sentiment,Labour general,Labour HH survey,Labour estabilishment survey,Housing activity,Retail sales,corporate sales & margins,"Income, savings",Interest rates,Rates sentiment,CPI,CPI sentiment,PPI finished goods,BS_housing wealth,BS_housing refinancing,BS_current asset / liabilities,Savings rate ,Fed liquidity
30/06/2004,50.10885341,49.94103774,71.63461538,36.71383648,36.05121294,61.92307692,47.79874214,61.55660377,65.81761006,77.30795148,64.77645611,68.31430288,80.02136752,71.3836478,63.14102564,72.38751814,51.36217949,52.31288981,76.63971249,85.04273504,77.42521368,83.20054945,59.57532051,40.86538462,41.78321678
31/07/2004,52.24358974,45.25462963,56.91823899,44.83024691,52.24867725,51.72169811,63.27160494,67.46632997,69.56790123,72.4702381,59.79267311,43.91214623,65.82809224,68.88327722,48.36477987,68.11787749,59.53878407,53.28913819,57.49559083,78.82599581,74.39203354,84.94609164,61.91037736,45.64690027,39.10806175
31/08/2004,53.63636364,38.80681818,63.7345679,36.66666667,32.20779221,69.25925926,52.12121212,62.91322314,64.59090909,71.23376623,59.10079051,52.57523148,56.6872428,68.56749311,61.2962963,58.08566434,60.41666667,50.70904238,52.16450216,59.67078189,67.71604938,80.8994709,49.92283951,46.9973545,42.34006734
30/09/2004,50.94436813,40.84821429,59.39393939,41.29464286,50.06377551,51.65909091,70.38690476,59.03003247,66.59970238,73.56505102,59.63703416,58.67897727,56.86868687,65.4491342,55.57575758,59.23763736,62.8030303,45.24979525,45.40816327,56.56565657,65.04040404,73.42857143,54.50757576,45.55844156,44.38016529
31/10/2004,49.91565452,32.78508772,66.33184524,37.40253411,42.29323308,58.75,77.92397661,40.17145136,57.22953216,74.26378446,64.16857361,52.62276786,58.73015873,63.50345561,61.60714286,56.96693657,50.32242063,43.22715573,64.28571429,54.26587302,74.21130952,71.69642857,59.04017857,45.30612245,46.95616883
30/11/2004,49.22082228,35.31788793,74.87207602,47.43773946,52.67857143,45.04385965,73.99425287,47.6684953,62.55028736,73.33743842,62.01274363,63.89802632,70.46783626,51.04493208,64.03508772,63.56929708,57.21247563,50.41883989,48.44006568,90.05847953,64.20565302,69.27318296,46.38157895,43.4085213,38.59649123
31/12/2004,54.09061278,34.90466102,70.06106322,51.85969868,51.2409201,68.06034483,82.06214689,66.02465331,63.02966102,72.13983051,63.25534267,41.6487069,77.49042146,55.2645095,57.98850575,64.21936115,43.84578544,55.25784405,59.68523002,91.95402299,61.75766284,69.81527094,53.6637931,44.17487685,48.27586207
31/01/2005,48.01282051,32.5,86.86440678,46.80555556,47.44047619,73.15677966,56.94444444,51.96969697,65.45833333,69.44940476,63.94021739,60.54025424,83.05084746,58.25757576,47.28813559,64.51923077,45.03295669,50.40464193,49.44444444,83.42749529,68.08851224,70.73849879,52.96610169,44.9031477,39.29121726
28/02/2005,51.52900378,32.50512295,78.94097222,47.76867031,51.63934426,49.85416667,64.48087432,54.39642325,59.69945355,78.46896956,69.24447612,52.96875,85.46296296,60.82960755,53.16666667,67.11065574,40.71759259,46.47897898,52.10772834,72.59259259,70.35185185,71.13095238,50.10416667,44.01190476,45.60606061
31/03/2005,51.20967742,35.50907258,86.2192623,40.23297491,49.51036866,58.21721311,52.28494624,48.86363636,63.95833333,76.25288018,65.72580645,65.24077869,86.15664845,66.34897361,53.82513661,74.97673697,36.49817851,47.28252843,65.20737327,57.92349727,71.19307832,72.89227166,54.54234973,51.49882904,48.43517139
